,Unnamed: 0,Unnamed: 0.1,B1,B10,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,QA10,QA20,QA60,doa,label,id,t
0,0,20180102T102421_20180102T102420_T32UPA,0.33129748201438847,0.003246043165467626,0.11079604316546764,0.09313920863309352,0.2574248201438849,0.20376258992805765,0.20164964028776983,0.22234820143884895,0.2602388489208633,0.2767895683453238,0.2499262589928058,0.2917406474820144,0.11146474820143885,0.0,0.0,1024.0,2018-01-02,841,78251661,0.005479452054794521
1,1,20180107T102359_20180107T102401_T32UPA,0.5086910071942448,0.01388453237410072,0.2840525179856116,0.21132194244604321,0.45932266187050363,0.3848258992805757,0.4102917266187051,0.40562553956834535,0.41679604316546776,0.4333169064748202,0.3934158273381296,0.43961834532374106,0.13265611510791372,0.0,0.0,1024.0,2018-01-07,841,78251661,0.019178082191780823
2,2,20180112T102401_20180112T102630_T32UPA,0.609138489208633,0.010035971223021583,0.4244453237410072,0.31582122302158283,0.5657920863309355,0.49328057553956844,0.5521996402877698,0.5744816546762591,0.5892226618705035,0.6043913669064749,0.5557273381294965,0.6070539568345323,0.31078884892086334,0.0,0.0,1024.0,2018-01-12,841,78251661,0.03287671232876712
3,3,20180117T102339_20180117T102341_T32UPA,0.5597014388489211,0.10713597122302161,0.1882474820143885,0.17778597122302162,0.5354992805755396,0.4592845323741009,0.506593165467626,0.5286658273381296,0.5486237410071942,0.5588115107913671,0.5422636690647482,0.5650877697841726,0.31366798561151094,0.0,0.0,1024.0,2018-01-17,841,78251661,0.04657534246575343
4,4,20180122T102321_20180122T102323_T32UPA,0.6217913669064749,0.060938129496402885,0.2180967625899281,0.15922805755395686,0.5857510791366908,0.5152820143884892,0.559429856115108,0.5702420863309353,0.5839039568345323,0.6020888489208635,0.5639748201438849,0.6119676258992807,0.27308273381294973,0.0,0.0,1024.0,2018-01-22,841,78251661,0.06027397260273973
5,5,20180127T102259_20180127T102314_T32UPA,0.33072302158273387,0.002525539568345324,0.1721784172661871,0.13745503597122308,0.2773241007194245,0.2166467625899281,0.20428776978417268,0.20827230215827341,0.22394784172661872,0.23306366906474818,0.22647697841726622,0.2341208633093525,0.0997902877697842,0.0,0.0,1024.0,2018-01-27,841,78251661,0.07397260273972603
6,6,20180201T102241_20180201T102237_T32UPA,0.6873744604316546,0.2790733812949641,0.3002636690647483,0.3203154676258993,0.653736330935252,0.5786043165467627,0.6315410071942448,0.6633996402877698,0.6773341726618707,0.6894776978417267,0.6783712230215829,0.6964870503597121,0.5766737410071945,0.0,0.0,1024.0,2018-02-01,841,78251661,0.08767123287671233
7,7,20180206T102209_20180206T102206_T32UPA,0.41402985611510795,0.03995035971223022,0.14861978417266195,0.1356381294964029,0.39381043165467644,0.34464316546762597,0.3654942446043165,0.38058489208633123,0.4093043165467626,0.4218953237410072,0.4061039568345325,0.4298028776978418,0.1952241007194245,0.0,0.0,1024.0,2018-02-06,841,78251661,0.10136986301369863
8,8,20180211T102141_20180211T102559_T32UPA,0.5252665467625901,0.0048489208633093524,0.2507298561151079,0.16785467625899284,0.4857874100719425,0.42950935251798555,0.46313057553956843,0.4834852517985613,0.5123413669064749,0.534053237410072,0.5050143884892088,0.5463194244604317,0.24628453237410083,0.0,0.0,1024.0,2018-02-11,841,78251661,0.11506849315068493
9,9,20180216T102059_20180216T102601_T32UPA,0.6552809352517989,0.00679748201438849,0.677131654676259,0.5833266187050363,0.6735291366906476,0.6223061151079137,0.7022032374100722,0.7311345323741009,0.7562276978417267,0.7776093525179858,0.7694974820143887,0.8034086330935253,0.37473309352517986,0.0,0.0,1024.0,2018-02-16,841,78251661,0.12876712328767123
